train_input_1,train_output_1
[-150 -615 718 -6 -316 857 -111 -69 -65 520 316 488 701 -957 -195 369 -253 96 517 -627 -679 763 975 851 911 -147 -623 -832 885 -545 879 -195 463 801 -128 -847 -348 5 478 980 -242 -575 -502 147 881 -749],31
[644 -964 -350 620 -298 -7 593 -77 -410 581 -238 836 -884 -938 -766 -942 -132 352 904 -510 -384 642 186 -286 796 954 768 -900 -900 624 -620 288 -732 638 -636 10 -494],4
[939 773 917 -459 -577 -99 -691 -742 -763 -35 -961 -141 200 333 7 -640 -173 -193 173 187 -55 -489 -487 -713 91],22
[-467 479 -925 622 629 940 -763 127 731 166 624 -419 809 306 371 -866 -342 535 -744 251 936 523 -203 -919 -451 -594 -265 -757 215 -960 321],20
[746 -852 607 487 80 378 -333 -969 587 509 707 561 -830 132 -213 -467 -161 -717],12
[-901 -640 39 -921 -323 -511 -496 243 -705 904 951 -982 681 700 -484 -659 -473 -787 -815 -202 -665 -933 600 -68 784 -259 -626 -720 -191 311 -485 582 617 554],20
[19],1
[462 -252 -682 -562 325 -902 840 325 -466 532 583 -145 -395 890 772 -500 368 -54 -738 -676 -27],6
[-466 286 -88 572 764 377 216 -424],1
[510 923 391 -370 717 229 -644 -192],4
[117 -625 -584 183 29 922 -518 -919 607 -587 -547 616 -783 30 183 135 -807 670 271 293 381 34 -986 797 -753 -844 -543 674 -893 755 -471 -275 661 -225 338 -312 505 21 -649 -211],28
[-177 161 -977 -780 -895 918 854 -126 -150 576 -84 221 -691 -776 77],7
[-296 928 -534 715 160 -316 -78 720 115 -882 -874 194 -840 384 793 414 -910 -974 -986 -106 574 -810 72],3
[-778 151 -238 22 -632 -792 658 -646 821 514 238 -658 326 883 825 970 256 -684 -200 214 256 384 -38 620 -892 976 398 562 -358 108 -126],4
[986 190 434 760 138 836 878 -398 -30 -416 -344 826 768 272 -684 -36 -756 -330 -669 652 750],1
