train_input_1,train_output_1
k frozf tq rr wnvkivxovsfbgg i ccl rks gtrp,kay rozffay qtay rray nvkivxovsfbggway iay clcay ksray trpgay
qcoyzyzahnnuh,coyzyzahnnuhqay
ovyrmh bapybq g dbpspcfwkh,ovyrmhay apybqbay gay bpspcfwkhday
pjw x v eytd sfn olrn xjbj fpf weqqqc s,jwpay xay vay eytday fnsay olrnay jbjxay pffay eqqqcway say
kigxfmwu osqts wyacumk ptalhn,igxfmwukay osqtsay yacumkway talhnpay
efhjcyyls d hy k plhwcn ffnzzowum zzpxjx,efhjcyylsay day yhay kay lhwcnpay fnzzowumfay zpxjxzay
uvaw u urp,uvaway uay urpay
ynjlsozmhjig a l yaajq ub okbvupi nnowysn,njlsozmhjigyay aay lay aajqyay ubay okbvupiay nowysnnay
zq za w foxihuyihb apwy cxh,qzay azay way oxihuyihbfay apwyay xhcay
icfu yipq,icfuay ipqyay
ggkmgh pa sphv saknfstth evnpf ubdjqf z l,gkmghgay apay phvsay aknfstthsay evnpfay ubdjqfay zay lay
ecl ocqwljd phjy kgaeqe wg mopt lx,eclay ocqwljday hjypay gaeqekay gway optmay xlay
cnooz spopfz e,noozcay popfzsay eay
grkhkntlzg vhdaxfzo,rkhkntlzggay hdaxfzovay
t osbpfg kxr jvgzjq,tay osbpfgay xrkay vgzjqjay
lp z cy,play zay ycay
x efsbvmipenpvo,xay efsbvmipenpvoay
wugd uokhdt yskzhlm,ugdway uokhdtay skzhlmyay
pajnzm g zqi tiyeuhnzadlbbqivsr g,ajnzmpay gay qizay iyeuhnzadlbbqivsrtay gay
kwjy avrsg o jmhd k,wjykay avrsgay oay mhdjay kay
p lntka mcg pxrki inonpldoaxbm d,pay ntkalay cgmay xrkipay inonpldoaxbmay day
t ljlebvfnk oo vb a h,tay jlebvfnklay ooay bvay aay hay
t itufh qj,tay itufhay jqay
xpagnyqku esydmattqda elymf ryi gj,pagnyqkuxay esydmattqdaay elymfay yiray jgay
am tr,amay rtay
tsnydfa oqq vthrbnenulwwga,snydfatay oqqay thrbnenulwwgavay
wwg kxws hp rgg ribk vukzovl,wgway xwskay phay ggray ibkray ukzovlvay
rjj pw,jjray wpay
a ajgw,aay ajgway
u lqoq lsxe d diancxv hpkwhrdywpyxlfgz,uay qoqlay sxelay day iancxvday pkwhrdywpyxlfgzhay
edcywzbfm mn gv ubdkqtclmbzetpjk l,edcywzbfmay nmay vgay ubdkqtclmbzetpjkay lay
plb pp cj ai wafx n,lbpay ppay jcay aiay afxway nay
